,RNAME
0,NIHU01000011.1
2,NIHU01000008.1
3,NIHU01000008.1
4,NIHU01000020.1
5,NIHU01000006.1
6,NIHU01000007.1
7,NIHU01000013.1
8,NIHU01000005.1
9,NIHU01000029.1
10,NIHU01000017.1
11,NIHU01000023.1
12,NIHU01000001.1
13,NIHU01000011.1
14,NIHU01000014.1
15,NIHU01000012.1
16,NIHU01000001.1
17,NIHU01000022.1
18,NIHU01000013.1
19,NIHU01000011.1
20,NIHU01000005.1
21,NIHU01000009.1
22,NIHU01000001.1
23,NIHU01000018.1
24,NIHU01000011.1
25,NIHU01000021.1
26,NIHU01000004.1
27,NIHU01000026.1
28,NIHU01000008.1
29,NIHU01000019.1
30,NIHU01000010.1
31,NIHU01000011.1
32,NIHU01000005.1
33,NIHU01000001.1
34,NIHU01000013.1
36,NIHU01000017.1
38,NIHU01000010.1
39,NIHU01000007.1
40,NIHU01000005.1
41,NIHU01000023.1
42,NIHU01000014.1
43,NIHU01000007.1
44,NIHU01000009.1
45,NIHU01000021.1
46,NIHU01000002.1
47,NIHU01000002.1
48,NIHU01000001.1
49,NIHU01000010.1
50,NIHU01000001.1
51,NIHU01000012.1
52,NIHU01000032.1
53,NIHU01000020.1
54,NIHU01000032.1
55,NIHU01000015.1
56,NIHU01000025.1
57,NIHU01000014.1
58,NIHU01000008.1
59,NIHU01000001.1
60,NIHU01000030.1
61,NIHU01000007.1
62,NIHU01000005.1
63,NIHU01000021.1
64,NIHU01000001.1
65,NIHU01000025.1
67,NIHU01000007.1
68,NIHU01000001.1
69,NIHU01000007.1
70,NIHU01000001.1
71,NIHU01000001.1
72,NIHU01000015.1
73,NIHU01000023.1
74,NIHU01000034.1
75,NIHU01000001.1
76,NIHU01000002.1
77,NIHU01000018.1
78,NIHU01000018.1
79,NIHU01000012.1
80,NIHU01000012.1
82,NIHU01000007.1
83,NIHU01000006.1
84,NIHU01000020.1
85,NIHU01000015.1
86,NIHU01000006.1
87,NIHU01000007.1
88,NIHU01000004.1
89,NIHU01000013.1
90,NIHU01000011.1
91,NIHU01000009.1
92,NIHU01000011.1
93,NIHU01000007.1
94,NIHU01000014.1
95,NIHU01000031.1
96,NIHU01000002.1
97,NIHU01000002.1
99,NIHU01000001.1
100,NIHU01000012.1
101,NIHU01000006.1
102,NIHU01000005.1
103,NIHU01000009.1
104,NIHU01000002.1
105,NIHU01000013.1
106,NIHU01000002.1
107,NIHU01000006.1
108,NIHU01000015.1
109,NIHU01000011.1
110,NIHU01000026.1
111,NIHU01000021.1
112,NIHU01000030.1
114,NIHU01000010.1
