NR90	NR50	GO	KO	KEGG	Pfam	EC	eggNOG
UniRef90_A0A060QNB5	UniRef50_A0A174ZHE4						
UniRef90_A0A060QNB5	UniRef50_A0A174ZHE4	GO:0003677,GO:0005524,GO:0016021			PF01580		
UniRef90_A0A060QNB5	UniRef50_A0A174ZHE4	GO:0003677,GO:0005524,GO:0016021			PF01580		COG1674,ENOG4106BHR
UniRef90_A0A060QNB5	UniRef50_A0A174ZHE4	GO:0003677,GO:0005524,GO:0016021		sgt:SGGB_1599	PF01580		
UniRef90_A0A060QNB5	UniRef50_A0A174ZHE4	GO:0003677,GO:0005524,GO:0016021		soi:I872_07885	PF01580		COG1674
UniRef90_A0A060QNB5	UniRef50_A0A174ZHE4	GO:0003677,GO:0005524,GO:0016021,GO:0051301			PF01580		
UniRef90_A0A060QNB5	UniRef50_A0A174ZHE4	GO:0003677,GO:0005524,GO:0016021,GO:0051301		efu:HMPREF0351_12736	PF01580		
UniRef90_A0A060QNB5	UniRef50_A0A174ZHE4	GO:0003677,GO:0005524,GO:0016021,GO:0051301		lsj:LSJ_5001	PF01580		
UniRef90_A0A060QNB5	UniRef50_A0A174ZHE4	GO:0003677,GO:0005524,GO:0016021,GO:0051301		sag:SAG0933,sage:EN72_03605	PF01580		
UniRef90_A0A060QNB5	UniRef50_A0A174ZHE4	GO:0003677,GO:0005524,GO:0016021,GO:0051301		ssb:SSUBM407_0972,ssu:SSU05_0931,ssb:SSUBM407_0492	PF01580		COG1674,ENOG4106BHR
UniRef90_A0A060QNB5	UniRef50_A0A174ZHE4	GO:0005524,GO:0003677			PF01580		
UniRef90_A0A060QNB5	UniRef50_A0A174ZHE4	GO:0005524,GO:0003677,GO:0016021			PF01580		
UniRef90_A0A060QNB5	UniRef50_A0A174ZHE4	GO:0005524,GO:0003677,GO:0016021			PF01580		COG1674
UniRef90_A0A060QNB5	UniRef50_A0A174ZHE4	GO:0005524,GO:0003677,GO:0016021,GO:0051301		spv:SPH_1423,snc:HMPREF0837_12193,spw:SPCG_1321,spw:SPCG_0161	PF01580		
UniRef90_A0A060QNB5	UniRef50_A0A174ZHE4	GO:0005524,GO:0003677,GO:0051301			PF01580		
UniRef90_A0A060QNB5	UniRef50_A0A174ZHE4	GO:0016021,GO:0005524,GO:0003677			PF01580		
UniRef90_A0A060QNB5	UniRef50_A0A174ZHE4	GO:0016021,GO:0005524,GO:0003677			PF01580		COG1674
UniRef90_A0A060QNB5	UniRef50_A0A174ZHE4	GO:0016021,GO:0005524,GO:0003677			PF01580		ENOG4106BHR,COG1674
UniRef90_A0A060QNB5	UniRef50_A0A174ZHE4	GO:0016021,GO:0005524,GO:0003677		slu:KE3_1590	PF01580		
UniRef90_A0A060QNB5	UniRef50_A0A174ZHE4	GO:0016021,GO:0005524,GO:0003677,GO:0051301			PF01580		
UniRef90_A0A060QNB5	UniRef50_A0A174ZHE4	GO:0016021,GO:0005524,GO:0003677,GO:0051301			PF01580		ENOG4106BHR,COG1674
UniRef90_A0A060QNB5	UniRef50_A0A174ZHE4	GO:0016021,GO:0005524,GO:0003677,GO:0051301		acg:AWM71_07075	PF01580		
UniRef90_A0A060QNB5	UniRef50_A0A174ZHE4	GO:0016021,GO:0005524,GO:0003677,GO:0051301		std:SPPN_01425	PF01580		COG1674
UniRef90_A0A084JLI4	UniRef50_P47476						
