UniRef90_A0A2N5PNM9	CDL24_08680	GCA_002865305	NIHU01000011.1	128967	131408
UniRef90_R5TUS7	CDL24_02935	GCA_002865305	NIHU01000003.1	153724	154392
UniRef90_A7VSX1	trpD	GCA_002865305	NIHU01000008.1	75225	76250
UniRef90_A0A2N5PFY6	CDL24_06315	GCA_002865305	NIHU01000008.1	30951	31094
UniRef90_A0A2N5NZQ8	CDL24_12290	GCA_002865305	NIHU01000020.1	2089	2643
UniRef90_A0A2N5PTS9	CDL24_04950	GCA_002865305	NIHU01000006.1	70296	70478
UniRef90_A0A2N5PTB8	CDL24_05825	GCA_002865305	NIHU01000007.1	84996	85424
UniRef90_A0A2N5NLE9	CDL24_09455	GCA_002865305	NIHU01000013.1	51084	52283
UniRef90_R5TNI3	CDL24_03920	GCA_002865305	NIHU01000005.1	22639	24561
UniRef90_A0A2N5P8R3	CDL24_14520	GCA_002865305	NIHU01000029.1	7738	9081
UniRef90_A0A2N5PMC2	CDL24_11115	GCA_002865305	NIHU01000017.1	12384	13934
UniRef90_A0A2N5NQT0	CDL24_13380	GCA_002865305	NIHU01000023.1	51223	51828
UniRef90_A0A2N5P4F7	CDL24_00735	GCA_002865305	NIHU01000001.1	148626	149846
UniRef90_A0A2N5NPZ9	CDL24_08570	GCA_002865305	NIHU01000011.1	110164	111519
UniRef90_A0A2N5PRI8	lspA	GCA_002865305	NIHU01000014.1	42869	43393
UniRef90_A0A2N5P9D3	CDL24_08820	GCA_002865305	NIHU01000012.1	26968	28161
UniRef90_A0A2N5P7I0	CDL24_01075	GCA_002865305	NIHU01000001.1	233049	234089
UniRef90_A7AZZ4	CDL24_13115	GCA_002865305	NIHU01000022.1	45677	46762
UniRef90_A7AZ38	CDL24_09265	GCA_002865305	NIHU01000013.1	8425	8961
UniRef90_A0A2N5PNQ9	CDL24_08515	GCA_002865305	NIHU01000011.1	94645	95649
UniRef90_A0A2N5PU99	CDL24_04090	GCA_002865305	NIHU01000005.1	66723	67883
UniRef90_A7B7A6	CDL24_07250	GCA_002865305	NIHU01000009.1	73380	75053
UniRef90_A0A3E4UPB9	CDL24_01160	GCA_002865305	NIHU01000001.1	253924	254049
UniRef90_R5XHP3	CDL24_11645	GCA_002865305	NIHU01000018.1	24336	26000
UniRef90_C0B4Y7	pstB	GCA_002865305	NIHU01000011.1	123212	123961
UniRef90_A7B3M3	CDL24_12650	GCA_002865305	NIHU01000021.1	9869	11791
UniRef90_A0A1Q6SYH8	CDL24_03045	GCA_002865305	NIHU01000004.1	2247	3608
UniRef90_A0A2N5NX23	CDL24_14105	GCA_002865305	NIHU01000026.1	27779	28936
UniRef90_A0A3E4V8I6	CDL24_06420	GCA_002865305	NIHU01000008.1	53034	53909
UniRef90_A0A2N5PMY8	CDL24_11900	GCA_002865305	NIHU01000019.1	2195	2506
UniRef90_A0A2N5PIB0	CDL24_07880	GCA_002865305	NIHU01000010.1	80722	81489
UniRef90_A0A2N5P122	CDL24_08410	GCA_002865305	NIHU01000011.1	67275	68150
UniRef90_A0A2N5PU90	nspC	GCA_002865305	NIHU01000005.1	158133	159251
UniRef90_Q6W7J8	CDL24_00310	GCA_002865305	NIHU01000001.1	55193	56587
UniRef90_F7JSU8	CDL24_09310	GCA_002865305	NIHU01000013.1	20097	20927
